DuftnoteID,Duftnote,AllgemeineDuftnote,Duftgruppen
2187,indische Schmetterlingslilie,Lilie,Blumige-Noten
2188,indischer Hedychium,indischer Hedychium,Blumige-Noten
2189,madagassischer Hedychium,madagassischer Hedychium,Blumige-Noten
2190,Schmetterlingslilie Absolue,Lilie,Blumige-Noten
2191,Schmetterlingslilie CO,Lilie,Blumige-Noten
2192,Schmetterlingslilienwurzel,Lilie,Blumige-Noten
2193,Heliotrop Absolue,Heliotrop Absolue,Blumige-Noten
2194,Heliotropex,Heliotropex,Blumige-Noten
2195,indisches Heliotrop,indisches Heliotrop,Blumige-Noten
2196,peruanisches Heliotrop,peruanisches Heliotrop,Blumige-Noten
2197,weißes Heliotrop,weißes Heliotrop,Blumige-Noten
2198,Henna Absolue,Henna Absolue,Blumige-Noten
2199,Henna CO,Henna CO,Blumige-Noten
2200,Henna-Tinte,Henna-Tinte,Blumige-Noten
2201,gelber Hibiskus,gelber Hibiskus,
2202,grüner Hibiskus,grüner Hibiskus,
2203,Guinea-Bissau-Hibiskus,Guinea-Bissau-Hibiskus,
2204,hawaiianischer Hibiskus,hawaiianischer Hibiskus,
2205,Hibiskus Absolue,Hibiskus Absolue,
2206,Hibiskusblatt,Hibiskusblatt,
2207,Hibiskusholz,holzige Noten,
2208,Hibiskusnektar,Hibiskusnektar,
2209,Hibiskussamen,Hibiskussamen,
2210,Hibiskustee,Tee,
2211,jamaikanischer Hibiskus,jamaikanischer Hibiskus,
2212,kapverdischer Hibiskus,kapverdischer Hibiskus,
2213,Korallen-Hibiskus,Korallen-Hibiskus,
2214,orientalischer Hibiskus,orientalischer Hibiskus,Fruchtige-Noten
2215,pinker Hibiskus,pinker Hibiskus,
2216,polynesischer Hibiskus,polynesischer Hibiskus,
2217,roter Hibiskus,roter Hibiskus,
2218,weißer Hibiskus,weißer Hibiskus,
2219,Holunderbeere,Holunderbeere,Blumige-Noten
2220,Holunderbeere Absolue,Holunderbeere Absolue,Blumige-Noten
2221,Holunderbeeren-Sirup,Holunderbeeren-Sirup,Blumige-Noten
2222,Holunderbeerenwein,Holunderbeerenwein,Blumige-Noten
2223,Holunderblüte Absolue,Holunderblüte Absolue,Blumige-Noten
2224,Holunderblüte CO,Holunderblüte CO,Blumige-Noten
2225,Holunderblüten-Likör,Holunderblüten-Likör,Blumige-Noten
2226,Holunderblüten-Nektar,Holunderblüten-Nektar,Blumige-Noten
2227,Holunderblüten-Sirup,Holunderblüten-Sirup,Blumige-Noten
2228,Holunderblüten-Sorbet,Holunderblüten-Sorbet,Blumige-Noten
2229,Holunderblütenwein,Holunderblütenwein,Blumige-Noten
2230,Holunderholz,holzige Noten,Blumige-Noten
2231,Holunderrinde,Holunderrinde,Blumige-Noten
2232,Schwarzer Holunder,Schwarzer Holunder,Blumige-Noten
2233,Zwerg-Holunder,Zwerg-Holunder,Blumige-Noten
2234,blaue Hortensie,blaue Hortensie,Blumige-Noten
2235,Hortensienblatt,Hortensienblatt,Blumige-Noten
2236,lila Hortensie,lila Hortensie,Blumige-Noten
2237,rosa Hortensie,rosa Hortensie,Blumige-Noten
2238,Wasserhortensie,Wasserhortensie,
2239,weiße Hortensie,weiße Hortensie,Blumige-Noten
2240,arabische Hyazinthe,arabische Hyazinthe,Blumige-Noten
2241,blaue Hyazinthe,blaue Hyazinthe,Blumige-Noten
2242,Dickstielige Wasserhyazinthe,Dickstielige Wasserhyazinthe,
2243,französische Hyazinthe,französische Hyazinthe,Blumige-Noten
2244,Galbanol,Galbanol,Riechstoffe
2245,Gartenhyazinthe,Gartenhyazinthe,
2246,grüne Hyazinthe,grüne Hyazinthe,Blumige-Noten
2247,Hyazinthe Absolue,Hyazinthe Absolue,Blumige-Noten
2248,Hyazinthenblatt,Hyazinthenblatt,Blumige-Noten
2249,indische Hyazinthe,indische Hyazinthe,Blumige-Noten
2250,pinke Hyazinthe,pinke Hyazinthe,Blumige-Noten
2251,purpurne Hyazinthe,purpurne Hyazinthe,Blumige-Noten
2252,schwarze Hyazinthe,schwarze Hyazinthe,Blumige-Noten
2253,Traubenhyazinthe,Traubenhyazinthe,
2254,Wasserhyazinthe,Wasserhyazinthe,
2255,weiße Hyazinthe,weiße Hyazinthe,Blumige-Noten
2256,wilde Hyazinthe,wilde Hyazinthe,Blumige-Noten
2257,Strohblume Absolue,Strohblume Absolue,Blumige-Noten
2258,ägyptische Iris,Iris,Blumige-Noten
2259,asiatische Iriswurzel,Iris,Blumige-Noten
2260,Bastard-Schwertlilie,Lilie,
2261,blaue Iris,Iris,Blumige-Noten
2262,blaue Iris Absolue,Iris,Blumige-Noten
2263,Bleiche Schwertlilie,Lilie,
2264,Bleiche Schwertlilie Absolue,Lilie,
2265,Bleiche Schwertlilie CO,Lilie,
2266,Bleiche Schwertlilie Concrete,Lilie,
2267,chinesische Iris,Iris,Blumige-Noten
2268,chinesische Iris Absolue,Iris,Blumige-Noten
2269,chinesische Iris Concrete,Iris,Blumige-Noten
2270,chinesische Irisbutter,Iris,Blumige-Noten
2271,chinesische Iriswurzel,Iris,Blumige-Noten
2272,Deutsche Schwertlilie,Lilie,
2273,Diviniris,Iris,Riechstoffe
2274,florentinische Irisbutter,Iris,Blumige-Noten
2275,florentinische Iriswurzel Absolue,Iris,Blumige-Noten
2276,florentinische Schwertlilie Absolue,Lilie,Blumige-Noten
