ParfumIndex,Parfum,Hersteller,Geschlecht,Score,Erscheinungsjahr,parfumeur
1850,Iris Shot Olfactive Studio ,Olfactive Studio,Unisex,8.0,2020,"Dominique Ropion,
IFF (International Flavors & Fragrances)"
1851,Koala Zoologist ,Zoologist,Unisex,7.6,2020,Spyros Drosopoulos
1852,Pride Der Duft ,Der-Duft,Unisex,6.9,2020,Miguel Matos
1853,No : Birch Tar and Russian Leather Meleg Perfumes ,Meleg-Perfumes,Unisex,8.2,2020,"Matthew Meleg Markeninhaber, Parfümhersteller"
1854,Zeste de Gingembre Heeley ,Heeley,Unisex,7.7,2020,James Heeley
1855,Neon Aaron Terence Hughes ,Aaron Terence Hughes,Unisex,7.6,2020,"Aaron Terence Hughes Markeninhaber, Parfümhersteller"
1856,Al Sahra The Different Company ,The Different Company,Unisex,7.6,2020,Emilie Bevierre-Coppermann
1857,Supernova Cologne The Dua Brand / Dua Fragrances ,The-Dua-Brand,Unisex,8.5,2020,Nicht angegeben
1858,Ocean Leather Memo Paris ,Memo-Paris,Unisex,7.6,2020,Aliénor Massenet
1859,Remix Cologne Edition   ,4711,Unisex,7.4,2020,Alexander Lee
1860,Lavande Romaine Perris Monte Carlo ,Perris Monte Carlo,Unisex,7.5,2020,Jean-Claude Ellena
1861,Sintra Memo Paris ,Memo-Paris,Unisex,7.6,2020,Philippe Paparella-Paris
1862,New York th Avenue Fragrance Du Bois ,Fragrance Du Bois,Unisex,7.7,2020,Shadi Samra
1863,Luxor XerJoff ,Xerjoff,Unisex,7.1,2020,Nicht angegeben
1864,Tyger Tyger Francesca Bianchi ,Francesca Bianchi,Unisex,7.9,2020,Francesca Bianchi
1865,Armani Privé - Rose Milano Giorgio Armani ,Giorgio Armani,Unisex,7.6,2020,"Daphné Bugey,
Marie Salamagne"
1866,Armani Privé - Cuir Zerzura Giorgio Armani ,Giorgio Armani,Unisex,8.1,2020,Nelly Hachem Ruiz
1867,Betula Olfactive Pharmacy ,Olfactive-Pharmacy,Unisex,7.4,2020,Mark Buxton
1868,Des clous pour une pelure Serge Lutens ,Serge Lutens,Unisex,7.1,2020,Nicht angegeben
1869,Amabile XerJoff ,Xerjoff,Unisex,5.8,2020,Christian Carbonnel a.k.a. Chris Maurice
1870,Violet Delirium Aaron Terence Hughes ,Aaron Terence Hughes,Unisex,7.4,2020,"Aaron Terence Hughes Markeninhaber, Parfümhersteller"
1871,Oud Blanc Van Cleef & Arpels ,Van Cleef Arpels,Unisex,7.9,2020,Anne Flipo
1872,Rouge Sarây Atelier des Ors ,Atelier Des Ors,Unisex,8.0,2020,Marie Salamagne
1873,Rubikona Puredistance ,Puredistance,Unisex,8.0,2020,Cécile Zarokian
1874,Roses on Ice Kilian ,Kilian,Unisex,7.3,2020,Frank Voelkl
1875,Casino Elixir . The Dua Brand / Dua Fragrances ,The-Dua-Brand,Unisex,8.2,2020,Nicht angegeben
1876,Vivacious Hiram Green ,Hiram Green,Unisex,7.4,2020,Hiram Green
1877,Damask Ormonde Jayne  Eau de Parfum,Ormonde Jayne,Unisex,7.9,2020,Nicht angegeben
1878,Salvia Olfactive Pharmacy ,Olfactive-Pharmacy,Unisex,7.6,2020,David Chieze
1879,Eau de Yuzu Nicolaï / Parfums de Nicolaï ,Nicolai,Unisex,8.0,2020,Patricia de Nicolaï
1880,Musk Deer Zoologist ,Zoologist,Unisex,7.6,2020,"Pascal Gaurin,
IFF (International Flavors & Fragrances)"
1881,Escentric  Escentric Molecules ,Escentric Molecules,Unisex,7.2,2005,Geza Schön
1882,Floranilla Maison Tahité ,Maison-Tahite,Unisex,7.7,2020,Lucien Ferrero
1883,Dirty Slut Aaron Terence Hughes ,Aaron Terence Hughes,Unisex,7.8,2020,"Aaron Terence Hughes Markeninhaber, Parfümhersteller"
1884,Yuzu Zest Yuja Jo Malone ,Jo Malone,Unisex,7.8,2020,"Mathilde Bijaoui,
Mane"
1885,Figolo Lengling ,Lengling,Unisex,7.6,2020,Nicht angegeben
1886,Felino Carner ,Carner,Unisex,7.5,2020,Rodrigo Flores-Roux
1887,Armani Privé - Jasmin Kusamono Giorgio Armani ,Giorgio Armani,Unisex,7.7,2020,Dominique Ropion
1888,Greenley Parfums de Marly ,Parfums De Marly,Unisex,7.8,2020,Nathalie Templer
1889,Tilia Olfactive Pharmacy ,Olfactive-Pharmacy,Unisex,7.2,2020,Mark Buxton
1890,Byzance Ormonde Jayne ,Ormonde Jayne,Unisex,7.7,2020,Nicht angegeben
1891,Limited Edition -   Edition Widian / AJ Arabia ,Widian,Unisex,8.6,1971,Jordi Fernández
1892,Bubble Der Duft ,Der-Duft,Unisex,6.1,2020,Alexandre Illan
1893,Burlington  Roja Parfums ,Roja Parfums,Unisex,8.5,2020,Roja Dove
